county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero
23027,38976,1.075,96.175,0.4125,0.2375,0.525,12345.0,347.0,402.0,276.0,11196.0,23541.0,4.880846183254747,Swing (Campo de Batalla),4.880846183254747
24029,19923,4.16,79.34,14.46,0.16,0.74,5329.0,68.0,117.0,85.0,5195.0,10524.0,1.273280121626758,Swing (Campo de Batalla),1.273280121626758
24041,37799,5.23,79.6,11.26,0.13,1.29,11062.0,83.0,274.0,190.0,10946.0,22008.0,0.5270810614322065,Swing (Campo de Batalla),0.5270810614322065
24045,101182,5.1,62.8,26.421053,0.110526316,2.6526315,22054.0,292.0,538.0,388.0,22944.0,44998.0,-1.9778656829192407,Swing (Campo de Batalla),1.9778656829192407
26045,108341,5.117857,84.11786,6.267857,0.36785713,1.7821429,31299.0,166.0,895.0,169.0,31798.0,63097.0,-0.7908458405312455,Swing (Campo de Batalla),0.7908458405312455
26055,89907,2.3,93.025,1.1625,1.0875,0.8875,28683.0,151.0,796.0,104.0,30502.0,59185.0,-3.073413871758047,Swing (Campo de Batalla),3.073413871758047
26073,70669,3.8666666,86.55334,2.4,2.5866666,1.6533333,14072.0,102.0,365.0,67.0,14815.0,28887.0,-2.5720912521203307,Swing (Campo de Batalla),2.5720912521203307
26121,171483,5.2547617,73.5,16.864286,0.5809524,0.41428572,45643.0,269.0,1219.0,180.0,45133.0,90776.0,0.5618225081519345,Swing (Campo de Batalla),0.5618225081519345
26145,196479,8.7125,65.8375,21.926786,0.2,0.83214283,51088.0,231.0,1007.0,238.0,50785.0,101873.0,0.29742915198335185,Swing (Campo de Batalla),0.29742915198335185
27003,338764,4.020482,83.62771,5.0578313,0.5891566,3.9313252,100893.0,731.0,2475.0,2131.0,104902.0,205795.0,-1.9480551033795768,Swing (Campo de Batalla),1.9480551033795768
27007,45434,1.84,75.04,0.69,18.71,0.73,11426.0,75.0,256.0,244.0,12188.0,23614.0,-3.2268992970271873,Swing (Campo de Batalla),3.2268992970271873
27013,65125,3.0,90.45625,2.65625,0.35625,1.6875,18330.0,139.0,477.0,374.0,16731.0,35061.0,4.560622914349278,Swing (Campo de Batalla),4.560622914349278
27017,35443,1.6142857,86.14286,1.1,7.8142858,0.5857143,10098.0,61.0,231.0,188.0,9791.0,19889.0,1.5435667957162251,Swing (Campo de Batalla),1.5435667957162251
27019,95715,3.2947369,91.02105,0.9052632,0.18947369,2.7105262,30774.0,141.0,822.0,615.0,34009.0,64783.0,-4.993593998425513,Swing (Campo de Batalla),4.993593998425513
27027,60879,4.276923,89.53077,1.9230769,1.2230769,1.0,16357.0,101.0,410.0,328.0,15043.0,31400.0,4.1847133757961785,Swing (Campo de Batalla),4.1847133757961785
27075,10750,1.1666666,96.23333,0.1,0.13333334,0.0,3647.0,26.0,78.0,58.0,3393.0,7040.0,3.6079545454545454,Swing (Campo de Batalla),3.6079545454545454
27087,5496,2.9,47.25,0.5,40.05,0.45,1112.0,6.0,9.0,35.0,1142.0,2254.0,-1.3309671694764862,Swing (Campo de Batalla),1.3309671694764862
27103,33086,3.857143,91.42857,2.1285715,0.2,1.2285714,9622.0,78.0,222.0,185.0,9018.0,18640.0,3.240343347639485,Swing (Campo de Batalla),3.240343347639485
27131,64886,8.246154,84.35384,3.3384616,0.3846154,2.376923,17402.0,115.0,372.0,333.0,17464.0,34866.0,-0.17782366775655364,Swing (Campo de Batalla),0.17782366775655364
27169,51213,2.64,92.06,1.5,0.34,2.37,13333.0,80.0,272.0,261.0,13227.0,26560.0,0.3990963855421687,Swing (Campo de Batalla),0.3990963855421687
28017,17391,4.1,51.6,43.45,0.05,0.375,3810.0,9.0,75.0,72.0,4175.0,7985.0,-4.571070757670633,Swing (Campo de Batalla),4.571070757670633
28029,28921,2.6166666,45.15,51.1,0.016666668,0.43333334,6470.0,11.0,58.0,94.0,6250.0,12720.0,1.729559748427673,Swing (Campo de Batalla),1.729559748427673
28061,16588,0.525,44.175,54.75,0.025,0.0,4341.0,6.0,30.0,57.0,4302.0,8643.0,0.4512322110378341,Swing (Campo de Batalla),0.4512322110378341
28087,59699,2.3142858,48.557144,47.214287,0.2857143,0.6785714,13087.0,32.0,182.0,140.0,13800.0,26887.0,-2.6518391787852864,Swing (Campo de Batalla),2.6518391787852864
28093,36385,2.8333333,43.35,53.033333,0.16666667,0.06666667,8057.0,27.0,48.0,119.0,7566.0,15623.0,3.1428022786916725,Swing (Campo de Batalla),3.1428022786916725
28107,34373,1.45,47.716667,50.316666,0.033333335,0.05,7403.0,11.0,48.0,105.0,8060.0,15463.0,-4.2488520985578475,Swing (Campo de Batalla),4.2488520985578475
28113,40075,1.3625,47.7125,49.4,0.325,0.5125,8646.0,18.0,91.0,108.0,8479.0,17125.0,0.9751824817518249,Swing (Campo de Batalla),0.9751824817518249
28149,48020,2.3333333,45.4,50.633335,0.075,0.875,10442.0,25.0,93.0,128.0,10365.0,20807.0,0.3700677656557889,Swing (Campo de Batalla),0.3700677656557889
29047,230361,6.663636,82.093185,5.6227274,0.3840909,2.1431818,59400.0,360.0,2019.0,185.0,64605.0,124005.0,-4.197411394701827,Swing (Campo de Batalla),4.197411394701827
29095,680905,9.392858,56.493877,29.170408,0.39591837,1.7811224,92182.0,678.0,3102.0,314.0,100142.0,192324.0,-4.138849025602629,Swing (Campo de Batalla),4.138849025602629
29165,93394,5.426316,82.71579,6.1894736,0.25789472,2.636842,27179.0,182.0,902.0,90.0,28917.0,56096.0,-3.098260125499144,Swing (Campo de Batalla),3.098260125499144
30005,6598,2.325,40.225,0.225,55.125,0.0,1589.0,0.0,59.0,0.0,1469.0,3058.0,3.924133420536298,Swing (Campo de Batalla),3.924133420536298
30049,65357,2.8285713,91.73572,0.47857141,2.442857,0.47857141,19743.0,0.0,1113.0,0.0,21409.0,41152.0,-4.048405909797823,Swing (Campo de Batalla),4.048405909797823
30085,11072,1.6,46.733334,0.06666667,45.433334,0.16666667,1910.0,0.0,111.0,0.0,1996.0,3906.0,-2.2017409114183306,Swing (Campo de Batalla),2.2017409114183306
31173,6946,4.05,36.45,0.1,57.35,0.7,1122.0,0.0,23.0,0.0,1180.0,2302.0,-2.519548218940052,Swing (Campo de Batalla),2.519548218940052
32031,435019,22.26542,65.46822,2.1280375,1.7943925,5.004673,128052.0,0.0,3524.0,3727.0,116653.0,244705.0,4.658261988925441,Swing (Campo de Batalla),4.658261988925441
33003,47513,1.1090909,96.53636,0.34545454,0.09090909,0.57272726,16649.0,0.0,422.0,0.0,16150.0,32799.0,1.5213878471904632,Swing (Campo de Batalla),1.5213878471904632
33015,299006,2.525,93.421875,0.675,0.0890625,1.7640625,100064.0,0.0,2876.0,0.0,95858.0,195922.0,2.1467726952562756,Swing (Campo de Batalla),2.1467726952562756
33019,43135,1.45,95.91,0.34,0.32,0.78,12390.0,0.0,482.0,0.0,11508.0,23898.0,3.690685413005272,Swing (Campo de Batalla),3.690685413005272
34015,290298,5.5190477,80.58889,9.066667,0.06666667,2.64127,86702.0,446.0,1616.0,550.0,83340.0,170042.0,1.9771585843497488,Swing (Campo de Batalla),1.9771585843497488
34019,126250,5.9423075,87.13846,2.1384616,0.053846154,3.4730768,39457.0,410.0,985.0,237.0,43153.0,82610.0,-4.474034620505992,Swing (Campo de Batalla),4.474034620505992
