county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional
13009,45795,1.8555555,50.444443,44.933334,0.21111111,1.3777778,9140.0,0.0,208.0,0.0,8903.0,18043.0,1.3135287923294352,Swing (Campo de Batalla),1.3135287923294352,13,Georgia,0.11015273064745058,0.004051873566983295,0.09811842777595807,0.00046099161480510966,0.003008576918877607,28.744444444444444
13033,23007,3.5666666,48.533333,47.25,0.06666667,0.18333334,5209.0,0.0,75.0,0.0,5400.0,10609.0,-1.8003581864454707,Swing (Campo de Batalla),1.8003581864454707,13,Georgia,0.21095028904246532,0.015502527926283306,0.20537227800234711,0.00028976689703133826,0.0007968589559699223,26.25
13225,27086,8.883333,43.266666,46.05,0.083333336,0.8666667,5920.0,0.0,123.0,0.0,6502.0,12422.0,-4.685235871840283,Swing (Campo de Batalla),4.685235871840283,13,Georgia,0.15973811563169166,0.03279676954884442,0.17001402938787563,0.00030766202466218706,0.0031996850771616333,28.05
13261,31429,4.9625,46.65,45.7375,0.35,0.9375,6318.0,0.0,100.0,0.0,5732.0,12050.0,4.863070539419087,Swing (Campo de Batalla),4.863070539419087,13,Georgia,0.14842979413917082,0.01578955741512616,0.145526424639664,0.0011136211778930288,0.0029829138693563267,33.15
13303,20785,1.96,45.76,50.48,0.0,0.66,4730.0,0.0,66.0,0.0,4663.0,9393.0,0.7132971361652294,Swing (Campo de Batalla),0.7132971361652294,13,Georgia,0.2201587683425547,0.009429877315371663,0.2428674524897763,0.0,0.0031753668510945397,31.639999999999997
16001,417501,7.8440676,84.9339,1.1559322,0.5271186,2.6881356,120539.0,0.0,5310.0,2841.0,130699.0,251238.0,-4.043974239565671,Swing (Campo de Batalla),4.043974239565671,16,,0.02034340037508892,0.0018788140866728463,0.0002768693248638926,0.00012625564968706663,0.0006438632721837791,42.80169491525424
16057,38339,3.5428572,90.74286,0.6,0.71428573,1.7428571,10236.0,0.0,608.0,254.0,9472.0,19708.0,3.8765983357012384,Swing (Campo de Batalla),3.8765983357012384,16,,0.23668551605414848,0.00924087013224132,0.0015649860455410939,0.001863078666631889,0.004545911734787031,39.07142857142857
17077,59534,4.1571426,74.83572,14.614285,0.31428573,3.1214285,11181.0,194.0,311.0,67.0,10890.0,22071.0,1.318472203343754,Swing (Campo de Batalla),1.318472203343754,17,Illinois,0.12570248933382605,0.006982804111936036,0.0245477962172876,0.0005279096482682165,0.005243102260892935,36.857142857142854
17111,307357,12.653846,82.198074,1.2942308,0.021153847,2.3423078,78154.0,781.0,2176.0,508.0,82260.0,160414.0,-2.5596269652274737,Swing (Campo de Batalla),2.5596269652274737,17,Illinois,0.02674351779852094,0.004116986435968597,0.00042108388616494827,6.88250047989797e-06,0.0007620805122382115,36.207692307692305
17113,173114,4.887805,81.39512,7.6,0.107317075,3.812195,43933.0,502.0,1624.0,441.0,40502.0,84435.0,4.063480784035057,Swing (Campo de Batalla),4.063480784035057,17,Illinois,0.04701821920815186,0.002823460263179177,0.00439017063900089,6.199214101690216e-05,0.002202129810413947,39.707317073170735
17167,199016,2.1075473,77.50566,15.762264,0.116981134,1.6339623,48917.0,620.0,1449.0,281.0,53485.0,102402.0,-4.4608503740161325,Swing (Campo de Batalla),4.4608503740161325,17,Illinois,0.0389444366282108,0.0010589838505446797,0.007920098886521686,5.8779763436105634e-05,0.0008210205712103549,37.950943396226414
17201,290439,13.478948,67.08947,14.514474,0.10131579,2.4960527,64056.0,645.0,1719.0,428.0,60861.0,124917.0,2.557698311678955,Swing (Campo de Batalla),2.557698311678955,17,Illinois,0.02309933238993386,0.0046408877595639705,0.004997425965521159,3.488367264726845e-05,0.0008594068634033308,27.292105263157893
18157,180952,8.205405,76.98379,4.9135137,0.105405405,7.8054056,35017.0,10.0,1832.0,8.0,34581.0,69598.0,0.6264547831834247,Swing (Campo de Batalla),0.6264547831834247,18,Indiana,0.042543762986869446,0.004534575467527301,0.0027153685507758964,5.825047802732216e-05,0.004313522702153057,37.67297297297298
19049,74892,7.06,87.293335,1.1666666,0.07333333,2.5933332,26879.0,57.0,744.0,180.0,28162.0,55041.0,-2.330989625915227,Swing (Campo de Batalla),2.330989625915227,19,Iowa,0.11655895823318914,0.00942690808096993,0.0015577986967900447,9.791877637130803e-05,0.003462763980131389,44.026666666666664
