county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN
48207,5853,23.8,69.85,3.45,0.25,0.75,353.0,6.0,15.0,0.0,1840.0
48209,177562,33.592,60.08,3.032,0.252,1.32,59524.0,418.0,1735.0,38.0,47680.0
48211,4115,33.0,64.0,1.0,0.4,0.3,206.0,3.0,25.0,0.0,1486.0
48213,79016,10.511765,80.670586,6.347059,0.7941176,0.5117647,7060.0,75.0,264.0,7.0,28911.0
48215,819217,90.66696,7.6580358,0.47232142,0.058035713,0.9267857,128199.0,865.0,1261.0,32.0,90527.0
48217,34923,22.536364,67.90909,8.090909,0.29090908,0.46363637,2860.0,26.0,119.0,0.0,11926.0
48219,23322,43.92857,50.74286,3.057143,0.41428572,0.2857143,1482.0,16.0,61.0,5.0,6536.0
48221,53171,11.07,85.83,0.96,0.78,0.48,5648.0,71.0,319.0,7.0,26496.0
48223,35645,15.733334,74.62222,6.888889,0.31111112,0.6666667,3046.0,31.0,143.0,2.0,12719.0
48225,22949,10.0,61.74286,26.085714,0.15714286,0.114285715,2314.0,7.0,56.0,1.0,7060.0
48227,36105,38.73,53.66,4.58,0.6,0.82,2069.0,28.0,89.0,1.0,8054.0
48229,3330,78.4,19.3,1.1,0.0,0.8,371.0,5.0,10.0,0.0,779.0
48231,88052,14.7736845,72.663155,8.926316,0.69473684,1.268421,8906.0,71.0,434.0,23.0,29163.0
48233,21858,25.971428,67.62857,2.8857143,1.0142857,0.5285714,965.0,10.0,115.0,2.0,7681.0
48235,1644,25.1,71.7,0.0,0.0,0.0,120.0,2.0,8.0,0.0,759.0
48237,8946,15.866667,78.26667,5.133333,0.3,0.033333335,331.0,9.0,24.0,0.0,3418.0
48239,14486,31.2,59.366665,8.066667,0.0,0.23333333,1033.0,23.0,53.0,13.0,5231.0
48241,35768,7.775,69.4125,19.825,0.45,0.3375,2954.0,7.0,105.0,3.0,12542.0
48243,2232,38.5,59.1,0.3,0.9,1.1,501.0,3.0,17.0,0.0,784.0
48245,252872,19.041666,38.029167,37.3625,0.19861111,3.8541667,46073.0,199.0,897.0,20.0,47570.0
48247,5239,91.75,6.65,1.3,0.0,0.0,1197.0,2.0,4.0,0.0,833.0
48249,41461,82.171425,16.357143,0.5,0.1,0.31428573,6119.0,28.0,69.0,0.0,7453.0
48251,155450,20.264286,73.792854,2.65,0.46785715,0.71428573,16464.0,142.0,771.0,15.0,54628.0
48253,19978,24.216667,64.666664,8.833333,0.4,0.13333334,999.0,19.0,63.0,0.0,5660.0
48255,14879,49.35,45.15,5.05,0.05,0.15,1234.0,17.0,30.0,3.0,3968.0
48257,109289,21.033333,65.64445,9.822222,0.42222223,0.75555557,18405.0,146.0,528.0,15.0,37624.0
48259,37361,22.05,75.15,0.6666667,0.033333335,0.65,6020.0,46.0,289.0,14.0,20083.0
48261,565,66.2,33.6,0.0,0.0,0.2,65.0,1.0,1.0,0.0,127.0
48263,821,17.9,81.5,0.2,0.4,0.0,47.0,3.0,1.0,0.0,411.0
48265,50149,26.04,70.08,1.33,0.26,1.0,6524.0,51.0,283.0,8.0,20879.0
48267,4486,24.45,74.7,0.0,0.25,0.0,284.0,4.0,17.0,0.0,1987.0
48269,267,24.7,75.3,0.0,0.0,0.0,8.0,0.0,0.0,0.0,151.0
48271,3577,62.1,37.3,0.6,0.0,0.0,446.0,2.0,11.0,0.0,1144.0
48273,32029,71.82,21.98,3.54,0.08,1.92,5314.0,29.0,97.0,0.0,5504.0
48275,3796,32.75,60.45,6.5,0.1,0.1,265.0,4.0,7.0,0.0,1180.0
48277,49566,6.733333,72.808334,14.941667,0.4,0.7916667,4458.0,28.0,172.0,24.0,16760.0
48279,13742,53.68,41.74,3.64,0.24,0.16,840.0,7.0,40.0,2.0,3521.0
48281,20219,19.58,73.5,3.38,0.16,0.96,2144.0,24.0,145.0,0.0,8086.0
48283,7191,83.2,15.3,0.9,0.0,0.0,1052.0,7.0,12.0,0.0,1335.0
48285,19549,18.666666,73.55,6.8,0.016666668,0.35,1333.0,8.0,46.0,6.0,8804.0
48287,16664,20.9,66.325,11.3,0.0,0.55,1750.0,16.0,65.0,1.0,6255.0
48289,16819,12.533334,78.433334,7.266667,0.33333334,0.4,1072.0,14.0,57.0,8.0,7523.0
48291,77486,17.407143,69.50714,10.864285,0.19285715,0.67142856,5785.0,29.0,218.0,0.0,23302.0
48293,23454,21.525,58.2125,18.5625,0.2375,0.575,2213.0,27.0,66.0,0.0,6789.0
48295,3483,26.75,69.35,0.25,0.95,0.7,131.0,0.0,17.0,0.0,1205.0
48297,11873,36.1,58.2,2.275,0.3,1.425,819.0,6.0,30.0,0.0,4199.0
48299,19323,7.95,89.9,1.5333333,0.1,0.13333334,2465.0,16.0,99.0,1.0,10079.0
48301,117,35.0,41.0,0.0,12.8,0.0,4.0,0.0,2.0,0.0,60.0
48303,290782,33.392536,55.73433,6.986567,0.27313432,1.8701493,40017.0,276.0,1617.0,46.0,78861.0
48305,5764,47.966667,49.166668,0.93333334,1.2333333,0.3,428.0,2.0,10.0,0.0,1853.0
48307,8273,27.133333,69.333336,0.8666667,0.1,0.0,490.0,6.0,36.0,0.0,2904.0
48309,241505,25.542,56.046,15.262,0.152,1.372,36688.0,243.0,1297.0,101.0,59543.0
48311,778,48.1,50.4,0.0,1.5,0.0,53.0,1.0,2.0,0.0,460.0
48313,13838,17.525,67.0,13.15,0.15,0.175,1088.0,10.0,30.0,1.0,4169.0
48315,10248,3.95,70.2,23.75,0.225,1.45,1339.0,8.0,47.0,0.0,3470.0
48317,5252,39.35,57.95,1.65,0.4,0.0,288.0,2.0,13.0,0.0,1857.0
48319,4066,24.85,71.4,0.05,0.55,3.15,457.0,2.0,19.0,5.0,1991.0
48321,36598,36.16,48.28,11.79,0.47,1.54,3733.0,33.0,115.0,1.0,9845.0
48323,56548,95.155556,3.3777778,0.11111111,0.74444443,0.46666667,8332.0,60.0,73.0,0.0,6881.0
