county_fips,TotalPop,Hispanic,White,Black,Native,Asian,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,votos_totales_dr,margen_perc,segmento_electoral,distancia_al_cero,state_code,state_name,perc_white,perc_hispanic,perc_black,perc_native,perc_asian,Professional,Nodo_Estrategico
17113,173114,4.887805,81.39512,7.6,0.107317075,3.812195,43933.0,502.0,1624.0,441.0,40502.0,84435.0,4.063480784035057,Swing (Campo de Batalla),4.063480784035057,17,Illinois,0.0470182192081518,0.0028234602631791,0.0043901706390008,6.199214101690216e-05,0.0022021298104139,39.707317073170735,Nodo A (Conocimiento)
17167,199016,2.1075473,77.50566,15.762264,0.116981134,1.6339623,48917.0,620.0,1449.0,281.0,53485.0,102402.0,-4.4608503740161325,Swing (Campo de Batalla),4.4608503740161325,17,Illinois,0.0389444366282108,0.0010589838505446,0.0079200988865216,5.8779763436105634e-05,0.0008210205712103,37.950943396226414,Nodo A (Conocimiento)
17201,290439,13.478948,67.08947,14.514474,0.10131579,2.4960527,64056.0,645.0,1719.0,428.0,60861.0,124917.0,2.557698311678955,Swing (Campo de Batalla),2.557698311678955,17,Illinois,0.0230993323899338,0.0046408877595639,0.0049974259655211,3.488367264726845e-05,0.0008594068634033,27.292105263157893,Nodo B (Industrial)
18157,180952,8.205405,76.98379,4.9135137,0.105405405,7.8054056,35017.0,10.0,1832.0,8.0,34581.0,69598.0,0.6264547831834247,Swing (Campo de Batalla),0.6264547831834247,18,Indiana,0.0425437629868694,0.0045345754675273,0.0027153685507758,5.825047802732216e-05,0.004313522702153,37.67297297297298,Nodo A (Conocimiento)
19049,74892,7.06,87.293335,1.1666666,0.07333333,2.5933332,26879.0,57.0,744.0,180.0,28162.0,55041.0,-2.330989625915227,Swing (Campo de Batalla),2.330989625915227,19,Iowa,0.1165589582331891,0.0094269080809699,0.00155779869679,9.791877637130804e-05,0.0034627639801313,44.02666666666666,Nodo A (Conocimiento)
19061,95906,2.3038461,91.488464,2.2192307,0.08461539,1.2961539,25657.0,125.0,556.0,230.0,27358.0,53015.0,-3.208525888899368,Swing (Campo de Batalla),3.208525888899368,19,Iowa,0.0953938898504785,0.0024021918336704,0.0023139644026442,8.822742059933685e-05,0.001351483640231,32.81923076923077,Nodo A (Conocimiento)
19101,17318,3.025,83.775,1.225,0.125,7.25,4319.0,32.0,95.0,37.0,4476.0,8795.0,-1.7851051733939738,Swing (Campo de Batalla),1.7851051733939738,19,Iowa,0.4837452361704585,0.0174673749855641,0.0070735650767987,0.0007217923547753,0.0418639565769719,36.35,Nodo A (Conocimiento)
19163,169994,6.9382977,80.38085,8.1957445,0.24468085,1.9638298,46926.0,209.0,1124.0,382.0,43958.0,90884.0,3.2657013335680647,Swing (Campo de Batalla),3.2657013335680647,19,Iowa,0.047284521806652,0.0040814956410226,0.0048211963363412,0.0001439349918232,0.0011552347729919,33.3531914893617,Nodo A (Conocimiento)
20161,75022,8.253846,78.207695,5.6538463,0.3846154,4.4923077,12765.0,0.0,796.0,0.0,11610.0,24375.0,4.7384615384615385,Swing (Campo de Batalla),4.7384615384615385,20,,0.1042463477379968,0.0110019007757724,0.0075362510996774,0.0005126701500893,0.005987987123777,39.77692307692308,Nodo A (Conocimiento)
20177,178792,12.667442,72.1093,8.472093,0.7651163,1.0372093,43015.0,0.0,2199.0,0.0,40443.0,83458.0,3.081789642694529,Swing (Campo de Batalla),3.081789642694529,20,,0.040331390666249,0.0070850161081032,0.0047385190612555,0.0004279365407848,0.0005801206429817,33.14418604651163,Nodo A (Conocimiento)
21073,49778,2.7181818,81.91818,10.981818,0.2090909,1.4454546,12650.0,0.0,365.0,144.0,12900.0,25550.0,-0.9784735812133072,Swing (Campo de Batalla),0.9784735812133072,21,Kentucky,0.1645670376471533,0.0054606087026397,0.0220615894571899,0.0004200468078267,0.0029038020812407,36.43636363636364,Nodo A (Conocimiento)
22047,33229,2.0714285,47.24286,49.285713,0.25714287,0.114285715,8514.0,0.0,141.0,171.0,7893.0,16407.0,3.784969829950631,Swing (Campo de Batalla),3.784969829950631,22,Louisiana,0.1421735833157783,0.0062337972855036,0.148321384934846,0.0007738507628878,0.0003439336573474,23.842857142857145,Nodo B (Industrial)
22093,21650,1.5285715,44.842857,53.057144,0.028571429,0.057142857,6510.0,0.0,47.0,79.0,5954.0,12464.0,4.460847240051348,Swing (Campo de Batalla),4.460847240051348,22,Louisiana,0.2071263602771362,0.007060376443418,0.2450676397228637,0.0001319696489607,0.0002639392933025,23.6,Nodo B (Industrial)
23001,107393,1.7571429,90.685715,1.7392857,0.09642857,0.7,27617.0,603.0,1105.0,768.0,29268.0,56885.0,-2.9023468401160235,Swing (Campo de Batalla),2.9023468401160235,23,,0.0844428547484472,0.0016361801048485,0.001619552205451,8.979036808730551e-05,0.0006518115705865,29.82857142857143,Nodo B (Industrial)
23007,30402,1.3111111,96.31111,0.26666668,0.4,0.44444445,8069.0,183.0,353.0,240.0,8754.0,16823.0,-4.0718064554478985,Swing (Campo de Batalla),4.0718064554478985,23,,0.3167920202618249,0.0043125817380435,0.0008771353200447,0.0013157029142819,0.0014618921452536,28.56666666666667,Nodo B (Industrial)
23011,121112,1.2806451,95.47419,0.65806454,0.58064514,0.7483871,34902.0,730.0,1406.0,856.0,34721.0,69623.0,0.259971561122043,Swing (Campo de Batalla),0.259971561122043,23,,0.0788313214214941,0.0010574056245458,0.0005433520542968,0.000479428248233,0.0006179297674879,35.50967741935484,Nodo A (Conocimiento)
23027,38976,1.075,96.175,0.4125,0.2375,0.525,12345.0,347.0,402.0,276.0,11196.0,23541.0,4.880846183254747,Swing (Campo de Batalla),4.880846183254747,23,,0.2467544129720853,0.0027581075533661,0.0010583435960591,0.0006093493431855,0.0013469827586206,33.6875,Nodo A (Conocimiento)
24029,19923,4.16,79.34,14.46,0.16,0.74,5329.0,68.0,117.0,85.0,5195.0,10524.0,1.273280121626758,Swing (Campo de Batalla),1.273280121626758,24,,0.3982331978115745,0.0208803894995733,0.0725794308086131,0.0008030919038297,0.0037143000552125,35.64,Nodo A (Conocimiento)
24041,37799,5.23,79.6,11.26,0.13,1.29,11062.0,83.0,274.0,190.0,10946.0,22008.0,0.5270810614322065,Swing (Campo de Batalla),0.5270810614322065,24,,0.210587581682055,0.0138363448768485,0.0297891478610545,0.0003439244424455,0.0034127886981137,38.28,Nodo A (Conocimiento)
24045,101182,5.1,62.8,26.421053,0.110526316,2.6526315,22054.0,292.0,538.0,388.0,22944.0,44998.0,-1.9778656829192407,Swing (Campo de Batalla),1.9778656829192407,24,,0.0620663754422723,0.0050404222094839,0.0261124043802257,0.0001092351564507,0.0026216436717993,32.53157894736842,Nodo A (Conocimiento)
26045,108341,5.117857,84.11786,6.267857,0.36785713,1.7821429,31299.0,166.0,895.0,169.0,31798.0,63097.0,-0.7908458405312455,Swing (Campo de Batalla),0.7908458405312455,26,Michigan,0.0776417607369324,0.0047238413896862,0.0057853047322804,0.0003395363989625,0.0016449385735778,33.24285714285714,Nodo A (Conocimiento)
26055,89907,2.3,93.025,1.1625,1.0875,0.8875,28683.0,151.0,796.0,104.0,30502.0,59185.0,-3.073413871758047,Swing (Campo de Batalla),3.073413871758047,26,Michigan,0.1034680280734536,0.0025581990278843,0.0012930027695285,0.0012095832360105,0.0009871311466292,36.75,Nodo A (Conocimiento)
26073,70669,3.8666666,86.55334,2.4,2.5866666,1.6533333,14072.0,102.0,365.0,67.0,14815.0,28887.0,-2.5720912521203307,Swing (Campo de Batalla),2.5720912521203307,26,Michigan,0.1224770974543293,0.005471517355559,0.0033961142792454,0.003660256406628,0.0023395453452008,30.0,Nodo B (Industrial)
26121,171483,5.2547617,73.5,16.864286,0.5809524,0.41428572,45643.0,269.0,1219.0,180.0,45133.0,90776.0,0.5618225081519345,Swing (Campo de Batalla),0.5618225081519345,26,Michigan,0.0428613915081961,0.0030643047415778,0.0098343777517304,0.0003387813369255,0.000241589965186,26.923809523809524,Nodo B (Industrial)
26145,196479,8.7125,65.8375,21.926786,0.2,0.83214283,51088.0,231.0,1007.0,238.0,50785.0,101873.0,0.2974291519833518,Swing (Campo de Batalla),0.2974291519833518,26,Michigan,0.0335086701377755,0.0044343161355666,0.0111598623771497,0.000101792049023,0.0004235276187277,27.023214285714285,Nodo B (Industrial)
27003,338764,4.020482,83.62771,5.0578313,0.5891566,3.9313252,100893.0,731.0,2475.0,2131.0,104902.0,205795.0,-1.9480551033795768,Swing (Campo de Batalla),1.9480551033795768,27,Minnesota,0.024686126625025,0.0011868091060443,0.0014930250262719,0.0001739135799553,0.0011604908431828,35.7421686746988,Nodo A (Conocimiento)
27007,45434,1.84,75.04,0.69,18.71,0.73,11426.0,75.0,256.0,244.0,12188.0,23614.0,-3.226899297027188,Swing (Campo de Batalla),3.226899297027188,27,Minnesota,0.1651626535193907,0.0040498305233965,0.0015186864462737,0.041180613637364,0.0016067262402605,30.67,Nodo A (Conocimiento)
27013,65125,3.0,90.45625,2.65625,0.35625,1.6875,18330.0,139.0,477.0,374.0,16731.0,35061.0,4.560622914349278,Swing (Campo de Batalla),4.560622914349278,27,Minnesota,0.1388963531669865,0.0046065259117082,0.0040786948176583,0.0005470249520153,0.0025911708253358,32.725,Nodo A (Conocimiento)
